#{"t_start": 1713419021.8955479, "env_id": "None"}
r,l,t
276.908785,2737,676.348506
244.734331,2737,677.714011
244.734331,2737,678.598422
244.734331,2737,679.486108
244.734331,2737,680.365976
244.734331,2737,681.247694
275.987356,2737,682.608914
275.987356,2737,683.490918
275.987356,2737,684.627252
275.987356,2737,685.51147
275.987356,2737,686.36985
230.130049,2737,687.714563
230.130049,2737,688.566694
230.130049,2737,689.441319
230.130049,2737,690.335132
230.130049,2737,691.222924
277.15737,2737,692.586198
277.15737,2737,693.44079
277.15737,2737,694.301767
277.15737,2737,695.163017
277.15737,2737,696.021599
95.362911,2737,697.358025
95.362911,2737,698.203634
95.362911,2737,699.05619
95.362911,2737,700.150249
95.362911,2737,701.037837
93.25005,2737,702.373194
93.25005,2737,703.223474
93.25005,2737,704.075525
93.25005,2737,704.928415
93.25005,2737,705.781116
80.611452,2737,707.11794
80.611452,2737,707.966897
80.611452,2737,708.817722
80.611452,2737,709.676055
80.611452,2737,710.53088
276.667358,2737,711.857819
276.667358,2737,712.70951
276.667358,2737,713.568037
276.667358,2737,714.58807
276.667358,2737,715.533494
104.670046,2737,717.182421
104.670046,2737,718.062719
104.670046,2737,718.957941
104.670046,2737,719.841102
104.670046,2737,720.882197
104.900045,2737,722.218713
104.900045,2737,723.075543
104.900045,2737,723.935326
104.900045,2737,724.797647
104.900045,2737,725.65956
95.145763,2737,726.986489
95.145763,2737,727.834942
95.145763,2737,728.692826
95.145763,2737,729.663847
95.145763,2737,730.519556
19.202946,2737,731.866399
19.202946,2737,732.714571
19.202946,2737,733.563058
19.202946,2737,734.413356
19.202946,2737,735.265924
94.031475,2737,736.588693
94.031475,2737,737.442082
94.031475,2737,738.298794
94.031475,2737,739.154461
94.031475,2737,740.012477
96.065769,2737,741.372819
96.065769,2737,742.240819
96.065769,2737,743.109654
96.065769,2737,743.986989
96.065769,2737,745.021887
247.441479,2737,746.40892
247.441479,2737,747.292271
247.441479,2737,748.179706
247.441479,2737,749.07099
247.441479,2737,749.959027
302.554495,2737,751.341151
302.554495,2737,752.212477
302.554495,2737,753.082503
302.554495,2737,753.956076
302.554495,2737,754.893066
97.362911,2737,756.338027
97.362911,2737,757.18409
97.362911,2737,758.039251
97.362911,2737,758.886957
97.362911,2737,759.994595
289.83164,2737,761.342588
289.83164,2737,762.193627
289.83164,2737,763.045998
289.83164,2737,763.902656
289.83164,2737,764.790944
248.381474,2737,766.123911
248.381474,2737,766.982451
248.381474,2737,767.839793
248.381474,2737,768.698538
248.381474,2737,769.59411
311.237352,2737,770.985761
311.237352,2737,771.889444
311.237352,2737,772.869634
311.237352,2737,773.740799
311.237352,2737,774.739531
257.507204,2737,776.104279
257.507204,2737,776.96425
257.507204,2737,777.825
257.507204,2737,778.685548
257.507204,2737,779.55077
80.395775,2737,780.909685
80.395775,2737,781.767584
80.395775,2737,782.625009
80.395775,2737,783.483763
80.395775,2737,784.345514
247.098621,2737,785.685812
247.098621,2737,786.546314
247.098621,2737,787.404765
247.098621,2737,788.262749
247.098621,2737,789.146831
69.570053,2737,790.647378
69.570053,2737,791.501165
69.570053,2737,792.357722
69.570053,2737,793.214586
69.570053,2737,794.074665
87.538597,2737,795.452829
87.538597,2737,796.329158
87.538597,2737,797.207378
87.538597,2737,798.086547
87.538597,2737,798.969307
96.065769,2737,800.338633
96.065769,2737,801.20136
96.065769,2737,802.067108
96.065769,2737,802.920646
96.065769,2737,803.77635
42.401497,2737,805.70482
42.401497,2737,806.570173
42.401497,2737,807.435149
42.401497,2737,808.296222
42.401497,2737,809.162773
45.752914,2737,810.546679
45.752914,2737,811.410743
45.752914,2737,812.280985
45.752914,2737,813.145281
45.752914,2737,814.010498
42.594353,2737,815.434297
42.594353,2737,816.308777
42.594353,2737,817.183314
42.594353,2737,818.061975
42.594353,2737,818.943944
313.993057,2737,820.496654
313.993057,2737,821.376385
313.993057,2737,822.254935
313.993057,2737,823.129521
313.993057,2737,824.007753
95.728626,2737,825.402088
95.728626,2737,826.271629
95.728626,2737,827.156742
95.728626,2737,828.121919
95.728626,2737,829.002413
266.150038,2737,830.45632
266.150038,2737,831.33752
266.150038,2737,832.213105
266.150038,2737,833.091024
266.150038,2737,834.000602
93.942902,2737,835.683103
93.942902,2737,836.662423
93.942902,2737,837.577382
93.942902,2737,838.461063
93.942902,2737,839.349961
94.452904,2737,840.762953
94.452904,2737,841.656842
94.452904,2737,842.532983
94.452904,2737,843.405135
94.452904,2737,844.29125
94.80862,2737,845.678474
94.80862,2737,846.554626
94.80862,2737,847.427354
94.80862,2737,848.299923
94.80862,2737,849.204657
94.811487,2737,850.790121
94.811487,2737,851.64971
94.811487,2737,852.524977
94.811487,2737,853.383598
94.811487,2737,854.245148
278.037367,2737,855.608097
278.037367,2737,856.463881
278.037367,2737,857.317482
278.037367,2737,858.168222
278.037367,2737,859.037644
48.830074,2737,860.434699
48.830074,2737,861.290898
48.830074,2737,862.150887
48.830074,2737,863.007736
48.830074,2737,863.86746
249.794329,2737,865.498703
249.794329,2737,866.360481
249.794329,2737,867.226751
249.794329,2737,868.147607
249.794329,2737,869.084299
96.445772,2737,870.497119
96.445772,2737,871.368046
96.445772,2737,872.236825
96.445772,2737,873.106254
96.445772,2737,874.014827
248.124331,2737,875.586683
248.124331,2737,876.649236
248.124331,2737,877.579035
248.124331,2737,878.48542
248.124331,2737,879.499821
94.695766,2737,880.908411
94.695766,2737,881.860643
94.695766,2737,882.819669
94.695766,2737,883.851165
94.695766,2737,884.726644
276.765795,2737,886.089114
276.765795,2737,887.166112
276.765795,2737,888.445518
276.765795,2737,889.641846
276.765795,2737,890.734967
258.575808,2737,892.618275
258.575808,2737,893.855689
258.575808,2737,895.129181
258.575808,2737,896.139071
258.575808,2737,897.075779
295.634493,2737,898.669115
295.634493,2737,899.528891
295.634493,2737,900.488699
295.634493,2737,901.363548
295.634493,2737,903.046591
277.800215,2737,905.350892
277.800215,2737,906.916247
277.800215,2737,908.193075
277.800215,2737,909.362553
277.800215,2737,910.470859
27.285784,2737,912.30417
27.285784,2737,913.275854
27.285784,2737,914.230504
27.285784,2737,915.191548
27.285784,2737,916.26123
277.947363,2737,918.265174
277.947363,2737,919.495121
277.947363,2737,920.634184
277.947363,2737,921.760865
277.947363,2737,922.840992
47.782932,2737,924.538604
47.782932,2737,925.517427
47.782932,2737,926.482285
47.782932,2737,927.434565
47.782932,2737,928.512989
295.461636,2737,930.235428
295.461636,2737,931.307817
295.461636,2737,932.593684
295.461636,2737,933.57286
295.461636,2737,934.582385
279.378792,2737,936.121107
279.378792,2737,937.071034
279.378792,2737,938.030563
279.378792,2737,939.092276
279.378792,2737,940.185841
245.814337,2737,941.948118
245.814337,2737,943.027364
245.814337,2737,943.945941
245.814337,2737,944.865534
245.814337,2737,945.782294
279.76594,2737,947.508658
279.76594,2737,948.538886
