#{"t_start": 1713166468.71797, "env_id": "None"}
r,l,t
5.530262,2757,1120.221982
5.501584,2757,1123.218701
5.501584,2757,1124.745332
5.501584,2757,1126.262802
5.501584,2757,1127.758637
5.501584,2757,1129.240275
5.548829,2757,1131.719079
5.548829,2757,1133.278416
5.548829,2757,1134.853663
5.548829,2757,1136.46653
5.548829,2757,1138.063007
6.032812,2757,1140.618953
6.032812,2757,1142.165519
6.032812,2757,1143.735921
6.032812,2757,1145.289363
6.032812,2757,1146.844699
-2.560229,2757,1149.339931
-2.560229,2757,1150.993251
-2.560229,2757,1152.784312
-2.560229,2757,1154.422548
-2.560229,2757,1156.007781
5.415039,2757,1158.512663
5.415039,2757,1160.115055
5.415039,2757,1161.679839
5.415039,2757,1163.245849
5.415039,2757,1164.825533
5.654053,2757,1167.278403
5.654053,2757,1168.889462
5.654053,2757,1170.454976
5.654053,2757,1172.016708
5.654053,2757,1173.605685
5.800566,2757,1176.078036
5.800566,2757,1177.625817
5.800566,2757,1179.153022
5.800566,2757,1180.704434
5.800566,2757,1182.261286
7.738441,2757,1184.960835
7.738441,2757,1186.487349
7.738441,2757,1188.039815
7.738441,2757,1189.612856
7.738441,2757,1191.192442
6.954673,2757,1193.570948
6.954673,2757,1195.070067
6.954673,2757,1196.589496
6.954673,2757,1198.104726
6.954673,2757,1199.615367
11.268763,2757,1202.134096
11.268763,2757,1203.74665
11.268763,2757,1205.300003
11.268763,2757,1206.880413
11.268763,2757,1208.458461
7.217103,2757,1210.912296
7.217103,2757,1212.467061
7.217103,2757,1214.093325
7.217103,2757,1215.821
7.217103,2757,1217.438025
11.389383,2757,1219.9288
11.389383,2757,1221.461169
11.389383,2757,1222.978856
11.389383,2757,1224.514619
11.389383,2757,1226.038789
11.651001,2757,1228.524374
11.651001,2757,1230.050089
11.651001,2757,1231.586878
11.651001,2757,1233.159065
11.651001,2757,1234.69713
9.003244,2757,1237.194165
9.003244,2757,1239.116342
9.003244,2757,1240.934065
9.003244,2757,1242.672001
9.003244,2757,1244.646461
5.185711,2757,1247.546657
5.185711,2757,1249.161713
5.185711,2757,1250.974696
5.185711,2757,1252.839629
5.185711,2757,1254.685828
4.860503,2757,1257.181446
4.860503,2757,1258.741031
4.860503,2757,1260.726577
4.860503,2757,1262.51765
4.860503,2757,1264.128563
4.936576,2757,1266.902722
4.936576,2757,1268.45193
4.936576,2757,1269.935952
4.936576,2757,1271.495498
4.936576,2757,1273.056847
6.213173,2757,1275.5146
6.213173,2757,1277.090898
6.213173,2757,1278.66459
6.213173,2757,1280.201525
6.213173,2757,1281.729799
6.226362,2757,1284.162411
6.226362,2757,1285.677054
6.226362,2757,1287.264706
6.226362,2757,1288.78358
6.226362,2757,1290.383769
5.513484,2757,1293.275069
5.513484,2757,1294.995039
5.513484,2757,1296.535809
5.513484,2757,1298.108914
5.513484,2757,1299.633338
6.915197,2757,1302.093786
6.915197,2757,1303.684919
6.915197,2757,1305.219703
6.915197,2757,1306.755579
6.915197,2757,1308.280718
6.115842,2757,1310.728228
6.115842,2757,1312.285717
6.115842,2757,1313.854225
6.115842,2757,1315.424723
6.115842,2757,1316.997027
5.150306,2757,1319.948186
5.150306,2757,1321.854889
5.150306,2757,1323.903675
5.150306,2757,1325.597997
5.150306,2757,1327.281531
7.006191,2757,1329.805078
7.006191,2757,1331.4098
7.006191,2757,1333.014982
7.006191,2757,1334.590939
7.006191,2757,1336.18298
5.078159,2757,1338.611152
5.078159,2757,1340.144521
5.078159,2757,1342.150837
5.078159,2757,1343.882515
5.078159,2757,1345.435985
9.443612,2757,1347.834098
9.443612,2757,1349.74378
9.443612,2757,1351.495113
9.443612,2757,1353.026567
9.443612,2757,1354.725497
5.170135,2757,1357.130144
5.170135,2757,1358.684971
5.170135,2757,1360.201782
5.170135,2757,1361.70713
5.170135,2757,1363.209943
5.530761,2757,1365.661071
5.530761,2757,1367.231553
5.530761,2757,1368.782058
5.530761,2757,1370.360349
5.530761,2757,1371.915411
4.893672,2757,1374.301133
4.893672,2757,1375.784221
4.893672,2757,1377.271954
4.893672,2757,1378.751278
4.893672,2757,1380.309792
9.407228,2757,1382.743535
9.407228,2757,1384.257323
9.407228,2757,1385.791516
9.407228,2757,1387.274308
9.407228,2757,1388.794883
4.23416,2757,1391.228094
4.23416,2757,1392.735239
4.23416,2757,1394.219796
4.23416,2757,1395.754056
4.23416,2757,1397.317691
5.463338,2757,1399.91482
5.463338,2757,1401.50338
5.463338,2757,1403.032968
5.463338,2757,1404.571473
5.463338,2757,1406.078123
7.381409,2757,1408.697313
7.381409,2757,1410.451934
7.381409,2757,1412.033841
7.381409,2757,1413.880996
7.381409,2757,1415.372826
4.769608,2757,1417.879345
4.769608,2757,1419.465694
4.769608,2757,1421.067877
4.769608,2757,1422.683176
4.769608,2757,1424.261846
4.300372,2757,1426.73924
4.300372,2757,1428.328908
4.300372,2757,1429.89986
4.300372,2757,1431.447166
4.300372,2757,1433.010198
4.829225,2757,1435.81696
4.829225,2757,1437.744272
4.829225,2757,1439.379737
4.829225,2757,1441.007887
4.829225,2757,1442.59785
6.692837,2757,1445.473504
6.692837,2757,1447.097398
6.692837,2757,1448.747429
6.692837,2757,1450.425221
6.692837,2757,1452.056438
5.415576,2757,1455.084746
5.415576,2757,1456.814424
5.415576,2757,1458.642659
5.415576,2757,1460.572059
5.415576,2757,1462.437516
5.058129,2757,1465.857044
5.058129,2757,1467.486153
5.058129,2757,1469.21886
5.058129,2757,1471.344877
5.058129,2757,1473.479065
8.143563,2757,1476.375362
8.143563,2757,1478.254524
8.143563,2757,1479.82837
8.143563,2757,1481.444965
8.143563,2757,1483.047493
8.552923,2757,1485.536714
8.552923,2757,1487.09986
8.552923,2757,1488.741766
8.552923,2757,1490.250767
8.552923,2757,1491.725877
11.89054,2757,1494.15961
11.89054,2757,1495.703444
11.89054,2757,1497.241618
11.89054,2757,1498.827366
11.89054,2757,1500.436564
7.245066,2757,1502.883492
7.245066,2757,1504.444161
7.245066,2757,1506.004833
